gene_symbol	delta_depsc	pvalue	fdr	druggable_probe	has_approved_drug	open_targets_score	mechanism_hypothesis	mean_depsc_low	mean_depsc_high	t_stat	mwu_pvalue	n_low	n_high	passes_effect_filter
RPS6	0.10711	0.0042213	0.088199	unknown	unknown	unknown	(no curated annotation)	-2.3697	-2.4768	2.8728	0.0029971	285	285	False
ATL2	0.10709	0.00365	0.082463	unknown	unknown	unknown	(no curated annotation)	-0.7142	-0.82129	2.9191	0.00082903	285	285	False
TSG101	-0.10709	0.00014817	0.012894	unknown	unknown	unknown	(no curated annotation)	-1.1684	-1.0613	-3.8202	0.00021647	285	285	False
FCHO2	-0.10706	2.8225e-06	0.0013164	unknown	unknown	unknown	(no curated annotation)	-0.21485	-0.10778	-4.7343	1.0855e-05	285	285	False
UBTF	0.10689	0.00056681	0.028805	unknown	unknown	unknown	(no curated annotation)	-1.7146	-1.8215	3.4671	0.0003707	285	285	False
DOHH	0.10679	2.4597e-05	0.0050874	unknown	unknown	unknown	(no curated annotation)	-0.54142	-0.64822	4.2547	2.8548e-05	285	285	False
ACTR6	0.10675	2.9002e-05	0.0052699	unknown	unknown	unknown	(no curated annotation)	-0.68006	-0.78682	4.2155	2.7297e-05	285	285	False
ATP1A1	-0.10619	0.049256	0.30806	unknown	unknown	unknown	(no curated annotation)	-1.2722	-1.166	-1.9706	0.045936	285	285	False
TBL3	0.10606	8.7464e-05	0.0099834	unknown	unknown	unknown	(no curated annotation)	-1.1123	-1.2184	3.9515	0.00051442	285	285	False
MTG2	0.10603	2.077e-05	0.0045076	unknown	unknown	unknown	(no curated annotation)	-0.47262	-0.57865	4.2931	6.6093e-05	285	285	False
SDHB	0.1059	0.0089033	0.13297	unknown	unknown	unknown	(no curated annotation)	-0.49074	-0.59665	2.6249	0.02217	285	285	False
MRPL43	0.1057	0.0016516	0.053706	unknown	unknown	unknown	(no curated annotation)	-0.73281	-0.83851	3.1619	0.0017253	285	285	False
COA6	0.10568	0.00022814	0.01705	unknown	unknown	unknown	(no curated annotation)	-0.3188	-0.42448	3.7101	0.00027646	285	285	False
EP300	0.10548	0.011509	0.15346	unknown	unknown	unknown	(no curated annotation)	-0.2997	-0.40518	2.5351	0.0058436	285	285	False
FARS2	0.10525	0.00058538	0.029327	unknown	unknown	unknown	(no curated annotation)	-0.51731	-0.62256	3.4578	0.00067289	285	285	False
FEN1	0.105	0.0025477	0.067843	unknown	unknown	unknown	(no curated annotation)	-0.92622	-1.0312	3.0311	0.0085826	285	285	False
PAX8	-0.10479	0.0010146	0.04047	unknown	unknown	unknown	(no curated annotation)	-0.26092	-0.15614	-3.3093	0.89479	285	285	False
LETM1	0.10447	0.0031459	0.076443	unknown	unknown	unknown	(no curated annotation)	-1.1353	-1.2398	2.9658	0.0056203	285	285	False
ADAR	-0.10445	0.00093279	0.038318	unknown	unknown	unknown	(no curated annotation)	-0.54961	-0.44517	-3.3278	0.000975	285	285	False
CAP1	-0.10444	2.8222e-05	0.0052699	unknown	unknown	unknown	(no curated annotation)	-0.6784	-0.57396	-4.2221	1.7701e-05	285	285	False
SDHC	0.10434	0.0021261	0.061729	unknown	unknown	unknown	(no curated annotation)	-0.96948	-1.0738	3.0863	0.0030825	285	285	False
NMNAT1	0.10419	0.0045798	0.093418	unknown	unknown	unknown	(no curated annotation)	-0.35651	-0.4607	2.8467	0.0019201	285	285	False
KIF11	-0.10369	0.047184	0.30364	unknown	unknown	unknown	(no curated annotation)	-2.8728	-2.7691	-1.989	0.048543	285	285	False
COG3	-0.10346	0.00053419	0.028028	unknown	unknown	unknown	(no curated annotation)	-1.004	-0.90059	-3.4829	0.0028994	285	285	False
POLRMT	0.10324	3.8474e-05	0.0063957	unknown	unknown	unknown	(no curated annotation)	-0.54152	-0.64476	4.1495	0.00013098	285	285	False
TEDC1	0.10307	4.3385e-05	0.0070257	unknown	unknown	unknown	(no curated annotation)	-0.36659	-0.46966	4.1211	4.0899e-05	285	285	False
ZFP36L1	-0.10305	0.00081653	0.035556	unknown	unknown	unknown	(no curated annotation)	-0.31947	-0.21642	-3.3654	0.00064466	285	285	False
NOA1	0.1029	1.0037e-05	0.0026253	unknown	unknown	unknown	(no curated annotation)	-0.27209	-0.37499	4.459	2.9788e-05	285	285	False
TAF13	0.10285	4.4814e-08	9.6449e-05	unknown	unknown	unknown	(no curated annotation)	-0.38201	-0.48486	5.5462	1.4362e-08	285	285	False
RPS8	0.1028	0.0069335	0.11701	unknown	unknown	unknown	(no curated annotation)	-3.1913	-3.2941	2.71	0.0063632	285	285	False
NOP58	0.10254	0.0051388	0.099457	unknown	unknown	unknown	(no curated annotation)	-1.7213	-1.8238	2.8092	0.0062368	285	285	False
PPP4C	0.10222	0.00109	0.042798	unknown	unknown	unknown	(no curated annotation)	-1.0943	-1.1965	3.2831	0.0043576	285	285	False
TADA2B	0.10219	0.0011765	0.044812	unknown	unknown	unknown	(no curated annotation)	-0.17995	-0.28214	3.261	0.0050914	285	285	False
TRMT61A	0.10214	9.8862e-06	0.0026253	unknown	unknown	unknown	(no curated annotation)	-0.21644	-0.31858	4.4608	8.8443e-06	285	285	False
CSTF1	0.10192	5.1822e-05	0.0077459	unknown	unknown	unknown	(no curated annotation)	-0.98591	-1.0878	4.0785	3.7947e-05	285	285	False
PSMB5	0.10163	0.085664	0.39638	unknown	unknown	unknown	(no curated annotation)	-1.8539	-1.9555	1.7217	0.018594	285	285	False
HSPA14	0.10149	0.00049994	0.026829	unknown	unknown	unknown	(no curated annotation)	-0.36636	-0.46785	3.5012	0.0005622	285	285	False
GATB	0.1014	8.3111e-06	0.0023293	unknown	unknown	unknown	(no curated annotation)	-0.26959	-0.37099	4.4983	1.1402e-05	285	285	False
TEDC2	0.10133	2.6806e-05	0.0051826	unknown	unknown	unknown	(no curated annotation)	-0.33844	-0.43978	4.2346	4.5938e-05	285	285	False
RPS13	-0.1012	0.00028015	0.019541	unknown	unknown	unknown	(no curated annotation)	-1.7039	-1.6027	-3.6559	0.00066418	285	285	False
PRORP	0.10115	0.00010601	0.010713	unknown	unknown	unknown	(no curated annotation)	-0.42056	-0.52171	3.9039	0.00018917	285	285	False
SLC2A1	-0.101	0.0037396	0.083548	unknown	unknown	unknown	(no curated annotation)	-0.54819	-0.44718	-2.9114	0.0061221	285	285	False
SLC25A28	-0.10096	0.0006997	0.032382	unknown	unknown	unknown	(no curated annotation)	-0.43009	-0.32913	-3.4096	0.020534	285	285	False
POLE2	-0.10094	0.011156	0.15044	unknown	unknown	unknown	(no curated annotation)	-1.8396	-1.7387	-2.5462	0.011305	285	285	False
GRWD1	0.10079	7.5334e-05	0.0095033	unknown	unknown	unknown	(no curated annotation)	-0.88834	-0.98913	3.988	0.00015886	285	285	False
MARS1	0.10013	0.0062162	0.11061	unknown	unknown	unknown	(no curated annotation)	-1.7778	-1.8779	2.7466	0.0026544	285	285	False
RPL27A	0.10011	0.0032188	0.076851	unknown	unknown	unknown	(no curated annotation)	-1.9404	-2.0405	2.9587	0.0076091	285	285	False
GSPT1	-0.099966	0.021621	0.20898	unknown	unknown	unknown	(no curated annotation)	-1.7447	-1.6447	-2.3034	0.018569	285	285	False
PWP2	0.099846	0.0019421	0.05865	unknown	unknown	unknown	(no curated annotation)	-1.4558	-1.5556	3.1135	0.0032494	285	285	False
RPS3	-0.099456	0.0013741	0.048881	unknown	unknown	unknown	(no curated annotation)	-2.2089	-2.1094	-3.216	0.00086468	285	285	False
RPL18A	0.099315	0.0044495	0.091707	unknown	unknown	unknown	(no curated annotation)	-2.5142	-2.6135	2.856	0.021181	285	285	False
SOCS3	-0.099058	7.332e-06	0.0022104	unknown	unknown	unknown	(no curated annotation)	-0.23485	-0.13579	-4.5292	0.00017659	285	285	False
EED	0.098994	0.00045498	0.025336	unknown	unknown	unknown	(no curated annotation)	-0.22988	-0.32887	3.5268	0.0004417	285	285	False
DCPS	0.098813	0.00036009	0.022517	unknown	unknown	unknown	(no curated annotation)	-0.18505	-0.28387	3.5894	0.00018689	285	285	False
PSMD12	-0.098742	0.0012279	0.0455	unknown	unknown	unknown	(no curated annotation)	-1.555	-1.4563	-3.2494	0.00098031	285	285	False
PET117	0.098262	0.0036507	0.082463	unknown	unknown	unknown	(no curated annotation)	-0.344	-0.44226	2.9196	0.00040918	268	276	False
MRPL33	0.098219	0.013104	0.16288	unknown	unknown	unknown	(no curated annotation)	-0.91972	-1.0179	2.4888	0.040028	285	285	False
MNAT1	0.097979	0.00040777	0.024421	unknown	unknown	unknown	(no curated annotation)	-0.801	-0.89897	3.5564	0.00047677	285	285	False
SLC30A9	0.097891	6.2494e-05	0.0086169	unknown	unknown	unknown	(no curated annotation)	-0.19433	-0.29222	4.0336	3.8283e-05	285	285	False
YARS2	0.097863	0.057113	0.32901	unknown	unknown	unknown	(no curated annotation)	-1.481	-1.5789	1.9063	0.068606	285	285	False
EFR3A	-0.097545	0.0073147	0.12025	unknown	unknown	unknown	(no curated annotation)	-0.48142	-0.38388	-2.6919	0.0069452	285	285	False
MRPS11	0.097479	0.0054427	0.10266	unknown	unknown	unknown	(no curated annotation)	-0.75842	-0.8559	2.7903	0.0040933	285	285	False
MTG1	0.097474	7.2006e-05	0.0091484	unknown	unknown	unknown	(no curated annotation)	-0.25551	-0.35298	4.0008	0.0011756	285	285	False
PFDN2	-0.097178	0.0016234	0.053374	unknown	unknown	unknown	(no curated annotation)	-1.7982	-1.701	-3.1669	0.0011693	285	285	False
PARS2	0.097139	0.00093557	0.038343	unknown	unknown	unknown	(no curated annotation)	-0.54361	-0.64075	3.3269	0.0011081	285	285	False
GFM1	0.097061	0.00046799	0.025692	unknown	unknown	unknown	(no curated annotation)	-0.51553	-0.61259	3.5189	0.00020016	285	285	False
NUP43	-0.096965	0.01386	0.16885	unknown	unknown	unknown	(no curated annotation)	-1.2779	-1.1809	-2.4685	0.017771	285	285	False
IK	-0.09655	0.00088956	0.037429	unknown	unknown	unknown	(no curated annotation)	-1.6092	-1.5127	-3.341	0.0010806	285	285	False
WTAP	-0.096537	0.00013926	0.01251	unknown	unknown	unknown	(no curated annotation)	-0.65664	-0.5601	-3.8359	4.7261e-05	285	285	False
DPM2	-0.096451	2.7161e-06	0.0013057	unknown	unknown	unknown	(no curated annotation)	-0.46908	-0.37263	-4.7399	2.3601e-06	285	285	False
TRIAP1	0.096363	0.017961	0.1894	unknown	unknown	unknown	(no curated annotation)	-1.3955	-1.4918	2.3733	0.01313	285	285	False
RTEL1	0.096351	8.0042e-05	0.0095971	unknown	unknown	unknown	(no curated annotation)	-0.56426	-0.66061	3.9735	0.00016446	285	285	False
AURKB	0.096127	0.0011451	0.044002	unknown	unknown	unknown	(no curated annotation)	-2.147	-2.2432	3.2689	0.0015113	285	285	False
PPP1R2	-0.096086	0.0015921	0.052734	unknown	unknown	unknown	(no curated annotation)	-0.91663	-0.82054	-3.1728	0.00081098	285	285	False
SMARCD1	0.095808	0.00017801	0.01447	unknown	unknown	unknown	(no curated annotation)	-0.17226	-0.26807	3.7735	0.0012759	285	285	False
DDX55	0.095361	0.0011184	0.043721	unknown	unknown	unknown	(no curated annotation)	-1.2923	-1.3877	3.2757	0.0005993	285	285	False
RHEB	-0.095155	0.00010034	0.010377	unknown	unknown	unknown	(no curated annotation)	-0.46343	-0.36828	-3.9185	1.0069e-05	285	285	False
ADSL	0.095144	0.078406	0.38094	unknown	unknown	unknown	(no curated annotation)	-1.03	-1.1252	1.7632	0.068298	285	285	False
WDR55	0.09496	0.0032058	0.076849	unknown	unknown	unknown	(no curated annotation)	-1.2557	-1.3507	2.9599	0.00054139	285	285	False
TAF4	0.094952	2.0529e-06	0.0012172	unknown	unknown	unknown	(no curated annotation)	-0.22902	-0.32397	4.7979	1.5217e-06	285	285	False
XRN2	0.094918	0.0016153	0.053303	unknown	unknown	unknown	(no curated annotation)	-1.3081	-1.403	3.1686	0.0033688	285	285	False
CDIPT	0.094916	0.0084318	0.1287	unknown	unknown	unknown	(no curated annotation)	-0.83977	-0.93469	2.6435	0.00098743	285	285	False
WDR26	-0.094581	0.00025362	0.018338	unknown	unknown	unknown	(no curated annotation)	-0.56835	-0.47377	-3.6822	0.00033967	285	285	False
MICOS10	0.094349	0.0023528	0.065287	unknown	unknown	unknown	(no curated annotation)	-0.53371	-0.62806	3.0568	0.015361	285	285	False
PSMG2	0.09432	0.0056639	0.10509	unknown	unknown	unknown	(no curated annotation)	-0.70819	-0.80251	2.7772	0.006462	285	285	False
NCOA4	-0.094251	8.7559e-05	0.0099834	unknown	unknown	unknown	(no curated annotation)	-0.50203	-0.40778	-3.9562	0.0013408	285	285	False
NOP2	0.09422	9.5188e-05	0.010147	unknown	unknown	unknown	(no curated annotation)	-1.2078	-1.302	3.9306	0.00036147	285	285	False
FASTKD5	0.094158	2.6016e-05	0.0051221	unknown	unknown	unknown	(no curated annotation)	-0.31664	-0.4108	4.241	2.3473e-05	285	285	False
THG1L	0.093857	6.8946e-05	0.0090173	unknown	unknown	unknown	(no curated annotation)	-0.67663	-0.77049	4.0097	0.00012183	285	285	False
POLR1G	0.093629	2.9128e-08	7.4014e-05	unknown	unknown	unknown	(no curated annotation)	-0.40636	-0.49999	5.6251	2.4052e-08	285	285	False
DKC1	0.093563	0.0072381	0.11953	unknown	unknown	unknown	(no curated annotation)	-1.2652	-1.3588	2.6955	0.0036315	285	285	False
MMGT1	0.093465	0.00019834	0.015473	unknown	unknown	unknown	(no curated annotation)	-0.39298	-0.48644	3.7456	0.00014399	285	285	False
SLC35B1	0.093443	0.0023761	0.065525	unknown	unknown	unknown	(no curated annotation)	-1.2396	-1.333	3.0525	0.0023918	285	285	False
DNAJA3	0.093245	1.7655e-06	0.0011892	unknown	unknown	unknown	(no curated annotation)	-0.82797	-0.92121	4.8297	1.0881e-06	285	285	False
MEN1	0.093201	0.0068236	0.11641	unknown	unknown	unknown	(no curated annotation)	-0.32206	-0.41527	2.7158	0.0083669	285	285	False
ZRSR2	-0.093127	0.0041566	0.087738	unknown	unknown	unknown	(no curated annotation)	-1.0016	-0.90852	-2.8778	0.0042338	285	285	False
RNASEH2C	0.092911	0.00021992	0.016505	unknown	unknown	unknown	(no curated annotation)	-0.31867	-0.41158	3.7196	0.00038161	285	285	False
TXNRD1	0.092675	0.019047	0.1956	unknown	unknown	unknown	(no curated annotation)	-0.56028	-0.65296	2.3514	0.008647	285	285	False
ERBB2	-0.092557	0.00072883	0.032903	unknown	unknown	unknown	(no curated annotation)	-0.39258	-0.30002	-3.3985	5.2467e-05	285	285	False
BUB3	0.092347	0.068304	0.35702	unknown	unknown	unknown	(no curated annotation)	-2.5939	-2.6862	1.8265	0.35642	285	285	False
