job_name,target,predicate,iptm,ptm,ranking_score,created_utc
of3_holo_DNM1L_9028a591,DNM1L,af3_holo_iptm,0.737,0.435,,2026-08-16
of3_holo_DNM1L_341fbb57,DNM1L,af3_holo_iptm,0.736,0.428,,2026-08-16
of3_holo_DNM1L_d4798046,DNM1L,af3_holo_iptm,0.736,0.442,,2026-08-15
of3_holo_DNM1L_654d2509,DNM1L,af3_holo_iptm,0.736,0.493,,2026-08-16
of3_holo_DNM1L_1b89746b,DNM1L,af3_holo_iptm,0.736,0.472,,2026-08-11
of3_holo_DNM1L_0c829378,DNM1L,af3_holo_iptm,0.736,0.440,,2026-08-13
of3_holo_DNM1L_37677f6d,DNM1L,af3_holo_iptm,0.736,0.474,,2026-08-12
of3_holo_DNM1L_2ba7b1ff,DNM1L,af3_holo_iptm,0.736,0.412,,2026-08-12
of3_holo_DNM1L_3203c144,DNM1L,af3_holo_iptm,0.736,0.450,,2026-08-12
of3_holo_DNM1L_a50ccbbe,DNM1L,af3_holo_iptm,0.736,0.448,,2026-08-15
of3_holo_DNM1L_596cb5dd,DNM1L,af3_holo_iptm,0.736,0.453,,2026-08-16
of3_holo_DNM1L_ef19560e,DNM1L,af3_holo_iptm,0.736,0.449,,2026-08-16
of3_holo_DNM1L_15bf11d5,DNM1L,af3_holo_iptm,0.736,0.469,,2026-08-12
of3_holo_DNM1L_a41f2a12,DNM1L,af3_holo_iptm,0.736,0.458,,2026-08-15
of3_holo_DNM1L_e393a7ba,DNM1L,af3_holo_iptm,0.736,0.443,,2026-08-11
of3_holo_DNM1L_0ed7f2f2,DNM1L,af3_holo_iptm,0.736,0.499,,2026-08-12
of3_holo_DNM1L_3d020c75,DNM1L,af3_holo_iptm,0.735,0.497,,2026-08-15
of3_holo_DNM1L_e479e141,DNM1L,af3_holo_iptm,0.735,0.435,,2026-08-15
of3_holo_DNM1L_54f58185,DNM1L,af3_holo_iptm,0.735,0.414,,2026-08-11
of3_holo_DNM1L_43d43f5b,DNM1L,af3_holo_iptm,0.735,0.487,,2026-08-11
of3_holo_DNM1L_1200f4b3,DNM1L,af3_holo_iptm,0.735,0.444,,2026-08-15
of3_holo_DNM1L_a318ac9c,DNM1L,af3_holo_iptm,0.735,0.474,,2026-08-15
of3_holo_DNM1L_65f41483,DNM1L,af3_holo_iptm,0.735,0.458,,2026-08-11
of3_holo_DNM1L_5d127300,DNM1L,af3_holo_iptm,0.735,0.468,,2026-08-16
of3_holo_DNM1L_b287e497,DNM1L,af3_holo_iptm,0.735,0.458,,2026-08-12
of3_holo_DNM1L_e0a90f23,DNM1L,af3_holo_iptm,0.735,0.425,,2026-08-15
of3_holo_DNM1L_5d428199,DNM1L,af3_holo_iptm,0.735,0.475,,2026-08-15
of3_holo_DNM1L_d8d6029d,DNM1L,af3_holo_iptm,0.735,0.472,,2026-08-12
of3_holo_DNM1L_cbb7d1d5,DNM1L,af3_holo_iptm,0.734,0.450,,2026-08-16
of3_holo_DNM1L_5e180de8,DNM1L,af3_holo_iptm,0.734,0.413,,2026-08-11
of3_holo_DNM1L_28984c26,DNM1L,af3_holo_iptm,0.734,0.446,,2026-08-16
of3_holo_DNM1L_9d5a7120,DNM1L,af3_holo_iptm,0.734,0.455,,2026-08-14
of3_holo_DNM1L_2495fdbd,DNM1L,af3_holo_iptm,0.734,0.452,,2026-08-11
of3_holo_DNM1L_c7a469ae,DNM1L,af3_holo_iptm,0.734,0.452,,2026-08-15
of3_holo_DNM1L_79f8a347,DNM1L,af3_holo_iptm,0.734,0.519,,2026-08-11
of3_holo_DNM1L_4c6cb151,DNM1L,af3_holo_iptm,0.734,0.477,,2026-08-15
of3_holo_DNM1L_a15dc215,DNM1L,af3_holo_iptm,0.734,0.452,,2026-08-16
of3_holo_DNM1L_4afbe7d2,DNM1L,af3_holo_iptm,0.734,0.436,,2026-08-16
of3_holo_DNM1L_304e5153,DNM1L,af3_holo_iptm,0.734,0.455,,2026-08-15
of3_holo_DNM1L_a0d5affc,DNM1L,af3_holo_iptm,0.734,0.483,,2026-08-15
of3_holo_DNM1L_7eacf0cb,DNM1L,af3_holo_iptm,0.734,0.452,,2026-08-16
of3_holo_DNM1L_5badd3bc,DNM1L,af3_holo_iptm,0.734,0.455,,2026-08-16
of3_holo_DNM1L_317f54cf,DNM1L,af3_holo_iptm,0.734,0.451,,2026-08-11
of3_holo_DNM1L_f6c41ac6,DNM1L,af3_holo_iptm,0.734,0.421,,2026-08-15
of3_holo_DNM1L_c68c58de,DNM1L,af3_holo_iptm,0.733,0.453,,2026-08-16
of3_holo_DNM1L_b28a710d,DNM1L,af3_holo_iptm,0.733,0.427,,2026-08-11
of3_holo_DNM1L_90681447,DNM1L,af3_holo_iptm,0.733,0.480,,2026-08-15
of3_holo_DNM1L_2d5dcd09,DNM1L,af3_holo_iptm,0.733,0.462,,2026-08-15
of3_holo_DNM1L_e55b799b,DNM1L,af3_holo_iptm,0.733,0.470,,2026-08-16
of3_holo_DNM1L_eb3aa3b5,DNM1L,af3_holo_iptm,0.733,0.474,,2026-08-15
of3_holo_DNM1L_0bac26f9,DNM1L,af3_holo_iptm,0.733,0.492,,2026-08-14
of3_holo_KEAP1_6de1ccf4,KEAP1,af3_holo_iptm,0.733,0.498,,2026-07-31
of3_holo_DNM1L_c7991d29,DNM1L,af3_holo_iptm,0.733,0.456,,2026-08-12
of3_holo_DNM1L_e8435a8b,DNM1L,af3_holo_iptm,0.733,0.469,,2026-08-12
of3_holo_DNM1L_3ce03b51,DNM1L,af3_holo_iptm,0.733,0.443,,2026-08-15
of3_holo_DNM1L_1fe8031c,DNM1L,af3_holo_iptm,0.733,0.487,,2026-08-12
of3_holo_DNM1L_ac32941e,DNM1L,af3_holo_iptm,0.733,0.443,,2026-08-12
of3_holo_DNM1L_f04698a6,DNM1L,af3_holo_iptm,0.733,0.476,,2026-08-13
of3_holo_DNM1L_69595602,DNM1L,af3_holo_iptm,0.733,0.464,,2026-08-14
of3_holo_DNM1L_0d7e2f47,DNM1L,af3_holo_iptm,0.733,0.473,,2026-08-11
of3_holo_KEAP1_91f5ee47,KEAP1,af3_holo_iptm,0.733,0.485,,2026-08-02
of3_holo_DNM1L_25061553,DNM1L,af3_holo_iptm,0.733,0.460,,2026-08-12
of3_holo_DNM1L_315d32aa,DNM1L,af3_holo_iptm,0.733,0.486,,2026-08-16
of3_holo_DNM1L_efe912b5,DNM1L,af3_holo_iptm,0.733,0.484,,2026-08-12
of3_holo_DNM1L_daca1fa2,DNM1L,af3_holo_iptm,0.732,0.500,,2026-08-15
of3_holo_DNM1L_b151f807,DNM1L,af3_holo_iptm,0.732,0.418,,2026-08-13
of3_holo_KEAP1_4efc8353,KEAP1,af3_holo_iptm,0.732,0.504,,2026-08-02
of3_holo_DNM1L_08c6f1ff,DNM1L,af3_holo_iptm,0.732,0.430,,2026-08-14
of3_holo_DNM1L_44649a4b,DNM1L,af3_holo_iptm,0.732,0.444,,2026-08-12
of3_holo_DNM1L_2fcbc527,DNM1L,af3_holo_iptm,0.732,0.476,,2026-08-13
of3_holo_DNM1L_7647c753,DNM1L,af3_holo_iptm,0.732,0.475,,2026-08-12
of3_holo_DNM1L_ba9061c0,DNM1L,af3_holo_iptm,0.732,0.471,,2026-08-11
of3_holo_DNM1L_5ba6cafd,DNM1L,af3_holo_iptm,0.732,0.448,,2026-08-13
of3_holo_DNM1L_e347a0ec,DNM1L,af3_holo_iptm,0.732,0.439,,2026-08-12
of3_holo_DNM1L_3627cda0,DNM1L,af3_holo_iptm,0.732,0.488,,2026-08-11
of3_holo_DNM1L_f086469d,DNM1L,af3_holo_iptm,0.732,0.460,,2026-08-16
of3_holo_DNM1L_b59a8feb,DNM1L,af3_holo_iptm,0.732,0.461,,2026-08-12
of3_holo_DNM1L_fa66726a,DNM1L,af3_holo_iptm,0.732,0.459,,2026-08-16
of3_holo_DNM1L_f8a02b52,DNM1L,af3_holo_iptm,0.731,0.438,,2026-08-14
of3_holo_DNM1L_2cc9446c,DNM1L,af3_holo_iptm,0.731,0.461,,2026-08-11
of3_holo_DNM1L_424c65f7,DNM1L,af3_holo_iptm,0.731,0.462,,2026-08-13
of3_holo_DNM1L_0d2757c0,DNM1L,af3_holo_iptm,0.731,0.488,,2026-08-15
of3_holo_DNM1L_6148aedc,DNM1L,af3_holo_iptm,0.731,0.468,,2026-08-16
of3_holo_DNM1L_cd5bfb5a,DNM1L,af3_holo_iptm,0.731,0.435,,2026-08-16
of3_holo_DNM1L_22bf35cf,DNM1L,af3_holo_iptm,0.731,0.449,,2026-08-12
of3_holo_KEAP1_34b996df,KEAP1,af3_holo_iptm,0.731,0.495,,2026-07-29
of3_holo_DNM1L_6c4ae413,DNM1L,af3_holo_iptm,0.731,0.431,,2026-08-12
of3_holo_DNM1L_95caf0c6,DNM1L,af3_holo_iptm,0.731,0.447,,2026-08-16
of3_holo_DNM1L_6f2bc9fd,DNM1L,af3_holo_iptm,0.731,0.469,,2026-08-11
of3_holo_DNM1L_2804869d,DNM1L,af3_holo_iptm,0.731,0.449,,2026-08-11
of3_holo_DNM1L_2883fddc,DNM1L,af3_holo_iptm,0.731,0.444,,2026-08-15
of3_holo_DNM1L_baa77ca0,DNM1L,af3_holo_iptm,0.731,0.447,,2026-08-15
of3_holo_DNM1L_2aaa83c9,DNM1L,af3_holo_iptm,0.731,0.443,,2026-08-15
of3_holo_DNM1L_26cab605,DNM1L,af3_holo_iptm,0.730,0.496,,2026-08-11
of3_holo_DNM1L_c2a57016,DNM1L,af3_holo_iptm,0.730,0.453,,2026-08-16
of3_holo_DNM1L_87ea8a2b,DNM1L,af3_holo_iptm,0.730,0.482,,2026-08-14
of3_holo_DNM1L_0a498551,DNM1L,af3_holo_iptm,0.730,0.434,,2026-08-12
of3_holo_DNM1L_282b554d,DNM1L,af3_holo_iptm,0.730,0.477,,2026-08-12
54_mapk3_x_dusp6,"",af3_iptm,0.730,0.770,0.820,2026-06-12
prkaa1_prkag1_amp,"",af3_iptm,0.730,0.680,0.810,2026-08-03
raptor_x_mtor,"",af3_iptm,0.730,0.740,0.800,2026-07-17
54_mapk3_x_dusp6,"",af3_iptm,0.730,0.770,0.820,2026-06-10
21_mapk1_x_elk4,"",af3_iptm,0.730,0.510,0.900,2026-06-10
69_map2k4_x_mapk13,"",af3_iptm,0.730,0.750,0.790,2026-06-12
binder5956_agrn_x_agrn_lg3_1868_2065,"",af3_iptm,0.730,0.790,0.770,2026-07-24
limk1_none_none_x_cfl2_none_none,"",af3_iptm,0.730,0.600,0.760,2026-07-15
39_hdac2_x_rcor3,"",af3_iptm,0.730,0.620,0.920,2026-06-08
keap1_x_pgam5,"",af3_iptm,0.730,0.580,0.730,2026-06-30
a_x_b_f943ecae,"",af3_iptm,0.730,0.780,0.740,2026-07-04
of3_holo_DNM1L_13e2ee93,DNM1L,af3_holo_iptm,0.730,0.447,,2026-08-13
of3_holo_DNM1L_a5ae1463,DNM1L,af3_holo_iptm,0.730,0.475,,2026-08-12
of3_holo_DNM1L_10b29f1d,DNM1L,af3_holo_iptm,0.730,0.447,,2026-08-13
of3_holo_DNM1L_853e8f5a,DNM1L,af3_holo_iptm,0.730,0.467,,2026-08-15
of3_holo_DNM1L_8203df7c,DNM1L,af3_holo_iptm,0.730,0.467,,2026-08-12
of3_holo_DNM1L_f727ab04,DNM1L,af3_holo_iptm,0.730,0.469,,2026-08-13
of3_holo_DNM1L_d4424d8b,DNM1L,af3_holo_iptm,0.730,0.412,,2026-08-16
of3_holo_DNM1L_be261491,DNM1L,af3_holo_iptm,0.729,0.459,,2026-08-11
of3_holo_DNM1L_06847451,DNM1L,af3_holo_iptm,0.729,0.480,,2026-08-14
of3_holo_DNM1L_d8289508,DNM1L,af3_holo_iptm,0.729,0.488,,2026-08-15
of3_holo_DNM1L_49847f8c,DNM1L,af3_holo_iptm,0.729,0.450,,2026-08-11
of3_holo_DNM1L_e9d185e2,DNM1L,af3_holo_iptm,0.729,0.424,,2026-08-12
of3_holo_KEAP1_1598fca6,KEAP1,af3_holo_iptm,0.729,0.499,,2026-08-02
of3_holo_DNM1L_3da91335,DNM1L,af3_holo_iptm,0.729,0.451,,2026-08-11
of3_holo_DNM1L_e3343654,DNM1L,af3_holo_iptm,0.729,0.431,,2026-08-11
of3_holo_DNM1L_0f40066a,DNM1L,af3_holo_iptm,0.729,0.426,,2026-08-11
of3_holo_DNM1L_63a66984,DNM1L,af3_holo_iptm,0.729,0.454,,2026-08-15
of3_holo_DNM1L_3619333c,DNM1L,af3_holo_iptm,0.729,0.436,,2026-08-13
of3_holo_DNM1L_a724b8b3,DNM1L,af3_holo_iptm,0.729,0.449,,2026-08-14
of3_holo_DNM1L_ba20c27c,DNM1L,af3_holo_iptm,0.728,0.430,,2026-08-15
of3_holo_DNM1L_36765ac9,DNM1L,af3_holo_iptm,0.728,0.485,,2026-08-13
of3_holo_DNM1L_e7fb56a1,DNM1L,af3_holo_iptm,0.728,0.435,,2026-08-12
of3_holo_DNM1L_87eb84e1,DNM1L,af3_holo_iptm,0.728,0.455,,2026-08-16
of3_holo_DNM1L_88c92d7d,DNM1L,af3_holo_iptm,0.728,0.470,,2026-08-11
of3_holo_DNM1L_2bbaf89e,DNM1L,af3_holo_iptm,0.728,0.487,,2026-08-12
of3_holo_DNM1L_49cf6266,DNM1L,af3_holo_iptm,0.728,0.445,,2026-08-12
of3_holo_DNM1L_924319fe,DNM1L,af3_holo_iptm,0.728,0.412,,2026-08-11
of3_holo_DNM1L_51fd6ca9,DNM1L,af3_holo_iptm,0.728,0.442,,2026-08-16
of3_holo_DNM1L_6cb64cab,DNM1L,af3_holo_iptm,0.728,0.423,,2026-08-15
of3_holo_DNM1L_be72bbab,DNM1L,af3_holo_iptm,0.728,0.450,,2026-08-15
of3_holo_DNM1L_a2972a8d,DNM1L,af3_holo_iptm,0.728,0.440,,2026-08-12
of3_holo_DNM1L_1ff45962,DNM1L,af3_holo_iptm,0.728,0.455,,2026-08-15
of3_holo_DNM1L_1ddfedc4,DNM1L,af3_holo_iptm,0.728,0.419,,2026-08-15
of3_holo_DNM1L_fea3324e,DNM1L,af3_holo_iptm,0.728,0.474,,2026-08-16
of3_holo_DNM1L_032582a1,DNM1L,af3_holo_iptm,0.728,0.444,,2026-08-16
of3_holo_DNM1L_2ec07294,DNM1L,af3_holo_iptm,0.728,0.488,,2026-08-16
of3_holo_DNM1L_5049d305,DNM1L,af3_holo_iptm,0.728,0.444,,2026-08-15
of3_holo_DNM1L_adf47957,DNM1L,af3_holo_iptm,0.728,0.442,,2026-08-16
of3_holo_DNM1L_25e59b76,DNM1L,af3_holo_iptm,0.728,0.429,,2026-08-11
of3_holo_DNM1L_d4f2a203,DNM1L,af3_holo_iptm,0.727,0.465,,2026-08-11
of3_holo_DNM1L_ef67ba7f,DNM1L,af3_holo_iptm,0.727,0.478,,2026-08-13
of3_holo_DNM1L_8fa7355b,DNM1L,af3_holo_iptm,0.727,0.445,,2026-08-15
of3_holo_DNM1L_93320a7c,DNM1L,af3_holo_iptm,0.727,0.504,,2026-08-14
of3_holo_DNM1L_3aa6a4df,DNM1L,af3_holo_iptm,0.727,0.433,,2026-08-15
of3_holo_KEAP1_76b9e027,KEAP1,af3_holo_iptm,0.727,0.494,,2026-07-29
of3_holo_DNM1L_c228083c,DNM1L,af3_holo_iptm,0.727,0.473,,2026-08-15
of3_holo_DNM1L_84c0d9a5,DNM1L,af3_holo_iptm,0.727,0.454,,2026-08-12
of3_holo_DNM1L_018c6fde,DNM1L,af3_holo_iptm,0.727,0.470,,2026-08-15
of3_holo_DNM1L_c8eda820,DNM1L,af3_holo_iptm,0.727,0.455,,2026-08-14
of3_holo_DNM1L_73d186a4,DNM1L,af3_holo_iptm,0.727,0.446,,2026-08-15
of3_holo_DNM1L_0ca3b41b,DNM1L,af3_holo_iptm,0.727,0.490,,2026-08-11
of3_holo_DNM1L_66ab04e0,DNM1L,af3_holo_iptm,0.727,0.450,,2026-08-15
of3_holo_DNM1L_d3e2944b,DNM1L,af3_holo_iptm,0.727,0.458,,2026-08-16
of3_holo_DNM1L_00463f0d,DNM1L,af3_holo_iptm,0.727,0.494,,2026-08-12
of3_holo_DNM1L_e19793ba,DNM1L,af3_holo_iptm,0.727,0.484,,2026-08-16
of3_holo_DNM1L_7d53f900,DNM1L,af3_holo_iptm,0.727,0.468,,2026-08-16
of3_holo_DNM1L_25cef77d,DNM1L,af3_holo_iptm,0.727,0.522,,2026-08-16
of3_holo_DNM1L_8ef5f278,DNM1L,af3_holo_iptm,0.726,0.443,,2026-08-15
of3_holo_DNM1L_401acc99,DNM1L,af3_holo_iptm,0.726,0.482,,2026-08-12
of3_holo_DNM1L_2e4e2918,DNM1L,af3_holo_iptm,0.726,0.408,,2026-08-16
of3_holo_DNM1L_24813f3c,DNM1L,af3_holo_iptm,0.726,0.473,,2026-08-11
of3_holo_DNM1L_c1648337,DNM1L,af3_holo_iptm,0.726,0.440,,2026-08-13
of3_holo_DNM1L_ecbc391b,DNM1L,af3_holo_iptm,0.726,0.430,,2026-08-11
of3_holo_DNM1L_9a697e66,DNM1L,af3_holo_iptm,0.726,0.474,,2026-08-12
of3_holo_DNM1L_ab1492db,DNM1L,af3_holo_iptm,0.726,0.477,,2026-08-13
of3_holo_DNM1L_836e0beb,DNM1L,af3_holo_iptm,0.726,0.433,,2026-08-11
of3_holo_DNM1L_db8c9b93,DNM1L,af3_holo_iptm,0.726,0.439,,2026-08-11
of3_holo_DNM1L_eae9c803,DNM1L,af3_holo_iptm,0.726,0.475,,2026-08-13
of3_holo_DNM1L_dece410d,DNM1L,af3_holo_iptm,0.725,0.451,,2026-08-16
of3_holo_DNM1L_78d7b7fd,DNM1L,af3_holo_iptm,0.725,0.458,,2026-08-13
of3_holo_KEAP1_893c29b5,KEAP1,af3_holo_iptm,0.725,0.493,,2026-07-29
of3_holo_DNM1L_73aa9455,DNM1L,af3_holo_iptm,0.725,0.461,,2026-08-12
of3_holo_DNM1L_f79d9406,DNM1L,af3_holo_iptm,0.725,0.418,,2026-08-13
of3_holo_DNM1L_d632516b,DNM1L,af3_holo_iptm,0.725,0.457,,2026-08-14
of3_holo_DNM1L_459cbca7,DNM1L,af3_holo_iptm,0.725,0.456,,2026-08-16
of3_holo_DNM1L_62f23454,DNM1L,af3_holo_iptm,0.725,0.473,,2026-08-12
of3_holo_DNM1L_5000cd89,DNM1L,af3_holo_iptm,0.725,0.449,,2026-08-15
of3_holo_DNM1L_a975082d,DNM1L,af3_holo_iptm,0.725,0.437,,2026-08-12
of3_holo_DNM1L_90207d38,DNM1L,af3_holo_iptm,0.725,0.473,,2026-08-15
of3_holo_DNM1L_d3f53045,DNM1L,af3_holo_iptm,0.725,0.477,,2026-08-12
of3_holo_DNM1L_c49d1027,DNM1L,af3_holo_iptm,0.725,0.462,,2026-08-14
of3_holo_DNM1L_00741fec,DNM1L,af3_holo_iptm,0.725,0.468,,2026-08-11
of3_holo_DNM1L_6bedac5a,DNM1L,af3_holo_iptm,0.725,0.486,,2026-08-12
of3_holo_DNM1L_427e534c,DNM1L,af3_holo_iptm,0.725,0.459,,2026-08-11
of3_holo_DNM1L_b9d9be99,DNM1L,af3_holo_iptm,0.725,0.479,,2026-08-16
of3_holo_DNM1L_3d1ffabe,DNM1L,af3_holo_iptm,0.725,0.460,,2026-08-14
of3_holo_DNM1L_a4659795,DNM1L,af3_holo_iptm,0.725,0.436,,2026-08-16
of3_holo_DNM1L_61f5679f,DNM1L,af3_holo_iptm,0.725,0.432,,2026-08-16
of3_holo_DNM1L_b159c14f,DNM1L,af3_holo_iptm,0.724,0.436,,2026-08-16
of3_holo_DNM1L_4dd8c61d,DNM1L,af3_holo_iptm,0.724,0.476,,2026-08-12
of3_holo_DNM1L_c5be1a86,DNM1L,af3_holo_iptm,0.724,0.486,,2026-08-13
of3_holo_DNM1L_15578b14,DNM1L,af3_holo_iptm,0.724,0.458,,2026-08-16
of3_holo_DNM1L_4c46e5a3,DNM1L,af3_holo_iptm,0.724,0.456,,2026-08-11
of3_holo_DNM1L_e054a580,DNM1L,af3_holo_iptm,0.724,0.459,,2026-08-13
of3_holo_DNM1L_1a00d52e,DNM1L,af3_holo_iptm,0.724,0.437,,2026-08-12
of3_holo_DNM1L_be18af9d,DNM1L,af3_holo_iptm,0.724,0.429,,2026-08-16
of3_holo_DNM1L_90fec909,DNM1L,af3_holo_iptm,0.724,0.448,,2026-08-14
of3_holo_DNM1L_86b189ee,DNM1L,af3_holo_iptm,0.724,0.461,,2026-08-16
of3_holo_DNM1L_d142468e,DNM1L,af3_holo_iptm,0.724,0.455,,2026-08-12
of3_holo_DNM1L_0b90e80f,DNM1L,af3_holo_iptm,0.724,0.462,,2026-08-13
of3_holo_DNM1L_e68be843,DNM1L,af3_holo_iptm,0.724,0.474,,2026-08-12
of3_holo_DNM1L_b4d04cf4,DNM1L,af3_holo_iptm,0.724,0.487,,2026-08-15
of3_holo_DNM1L_b5bfa8d6,DNM1L,af3_holo_iptm,0.724,0.438,,2026-08-11
of3_holo_DNM1L_9f57ff28,DNM1L,af3_holo_iptm,0.724,0.441,,2026-08-13
of3_holo_DNM1L_82043772,DNM1L,af3_holo_iptm,0.724,0.463,,2026-08-15
of3_holo_DNM1L_836eea1d,DNM1L,af3_holo_iptm,0.723,0.403,,2026-08-11
of3_holo_DNM1L_a7884a25,DNM1L,af3_holo_iptm,0.723,0.473,,2026-08-11
of3_holo_DNM1L_c13fedbc,DNM1L,af3_holo_iptm,0.723,0.445,,2026-08-14
of3_holo_DNM1L_0ba70b16,DNM1L,af3_holo_iptm,0.723,0.453,,2026-08-11
of3_holo_KEAP1_00d13186,KEAP1,af3_holo_iptm,0.723,0.493,,2026-07-29
of3_holo_DNM1L_2de919b9,DNM1L,af3_holo_iptm,0.723,0.491,,2026-08-16
of3_holo_DNM1L_7acbd590,DNM1L,af3_holo_iptm,0.723,0.469,,2026-08-13
of3_holo_DNM1L_692865f6,DNM1L,af3_holo_iptm,0.723,0.444,,2026-08-14
of3_holo_DNM1L_4a0102e2,DNM1L,af3_holo_iptm,0.723,0.443,,2026-08-14
of3_holo_DNM1L_359a25cc,DNM1L,af3_holo_iptm,0.723,0.459,,2026-08-16
of3_holo_DNM1L_7b503e38,DNM1L,af3_holo_iptm,0.723,0.446,,2026-08-16
of3_holo_DNM1L_b50dde6d,DNM1L,af3_holo_iptm,0.723,0.482,,2026-08-15
of3_holo_DNM1L_f8a96e1f,DNM1L,af3_holo_iptm,0.723,0.467,,2026-08-15
of3_holo_DNM1L_39079d6a,DNM1L,af3_holo_iptm,0.723,0.420,,2026-08-15
of3_holo_KEAP1_58267f2f,KEAP1,af3_holo_iptm,0.722,0.875,,2026-07-29
of3_holo_DNM1L_76f0d802,DNM1L,af3_holo_iptm,0.722,0.442,,2026-08-14
of3_holo_DNM1L_1a5940ba,DNM1L,af3_holo_iptm,0.722,0.457,,2026-08-11
of3_holo_DNM1L_d176a8fc,DNM1L,af3_holo_iptm,0.722,0.438,,2026-08-11
of3_holo_DNM1L_c083db70,DNM1L,af3_holo_iptm,0.722,0.470,,2026-08-15
of3_holo_DNM1L_3238d375,DNM1L,af3_holo_iptm,0.722,0.451,,2026-08-16
of3_holo_DNM1L_cd7558c6,DNM1L,af3_holo_iptm,0.722,0.449,,2026-08-12
of3_holo_DNM1L_f1600083,DNM1L,af3_holo_iptm,0.722,0.453,,2026-08-15
of3_holo_DNM1L_db861783,DNM1L,af3_holo_iptm,0.722,0.465,,2026-08-13
of3_holo_KEAP1_b9c34a5d,KEAP1,af3_holo_iptm,0.722,0.491,,2026-08-02
of3_holo_DNM1L_2df104a9,DNM1L,af3_holo_iptm,0.722,0.453,,2026-08-15
of3_holo_DNM1L_e33c84a2,DNM1L,af3_holo_iptm,0.722,0.445,,2026-08-12
of3_holo_LDHA_3cac3f35,LDHA,af3_holo_iptm,0.722,0.578,,2026-08-11
of3_holo_DNM1L_42f51228,DNM1L,af3_holo_iptm,0.722,0.453,,2026-08-16
of3_holo_DNM1L_d113a371,DNM1L,af3_holo_iptm,0.722,0.448,,2026-08-15
of3_holo_DNM1L_c72b8127,DNM1L,af3_holo_iptm,0.722,0.442,,2026-08-13
of3_holo_DNM1L_6a53d3f4,DNM1L,af3_holo_iptm,0.722,0.459,,2026-08-15
of3_holo_DNM1L_d4c3104b,DNM1L,af3_holo_iptm,0.722,0.444,,2026-08-11
of3_holo_KEAP1_a8a28114,KEAP1,af3_holo_iptm,0.721,0.503,,2026-08-02
of3_holo_DNM1L_9536b248,DNM1L,af3_holo_iptm,0.721,0.466,,2026-08-14
of3_holo_DNM1L_da9574d8,DNM1L,af3_holo_iptm,0.721,0.461,,2026-08-15
of3_holo_DNM1L_be1c0aed,DNM1L,af3_holo_iptm,0.721,0.444,,2026-08-16
of3_holo_DNM1L_6462b9f9,DNM1L,af3_holo_iptm,0.721,0.455,,2026-08-11
of3_holo_DNM1L_e26e2810,DNM1L,af3_holo_iptm,0.721,0.457,,2026-08-11
of3_holo_DNM1L_eb0d1299,DNM1L,af3_holo_iptm,0.721,0.478,,2026-08-12
of3_holo_KEAP1_7b751a22,KEAP1,af3_holo_iptm,0.721,0.475,,2026-07-29
of3_holo_DNM1L_22ba052d,DNM1L,af3_holo_iptm,0.721,0.439,,2026-08-16
of3_holo_DNM1L_db41e85d,DNM1L,af3_holo_iptm,0.721,0.455,,2026-08-16
of3_holo_DNM1L_9ba3584e,DNM1L,af3_holo_iptm,0.720,0.433,,2026-08-15
of3_holo_KEAP1_237c0166,KEAP1,af3_holo_iptm,0.720,0.837,,2026-07-29
of3_holo_DNM1L_4fb0373f,DNM1L,af3_holo_iptm,0.720,0.467,,2026-08-15
of3_holo_KEAP1_13034727,KEAP1,af3_holo_iptm,0.720,0.491,,2026-08-02
of3_holo_DNM1L_66cc145c,DNM1L,af3_holo_iptm,0.720,0.445,,2026-08-16
of3_holo_DNM1L_1ac264a9,DNM1L,af3_holo_iptm,0.720,0.437,,2026-08-11
of3_holo_DNM1L_b1d91ac5,DNM1L,af3_holo_iptm,0.720,0.434,,2026-08-15
of3_holo_DNM1L_4deeea11,DNM1L,af3_holo_iptm,0.720,0.447,,2026-08-15
agrn_x_ws1bnone_1283,"",af3_iptm,0.720,0.810,0.740,2026-07-03
prkaa2_1_550_x_prkab2_none_none,"",af3_iptm,0.720,0.710,0.880,2026-07-30
dnm1l_1_300_dimer_gtp,"",af3_iptm,0.720,0.780,0.730,2026-08-05
01_mapk14_x_tab1,"",af3_iptm,0.720,0.490,0.750,2026-06-10
24_mapk1_x_pea15,"",af3_iptm,0.720,0.860,0.800,2026-06-10
lrp4_x_ws1bnone_1263,"",af3_iptm,0.720,0.880,0.760,2026-07-03
29_kcnb1_1_180_x_kcns2_1_200,"",af3_iptm,0.720,0.680,0.830,2026-06-10
28_kcnb1_1_180_x_kcnv1_1_200,"",af3_iptm,0.720,0.710,0.870,2026-06-08
01_mapk14_x_tab1,"",af3_iptm,0.720,0.490,0.750,2026-06-08
29_kcnb1_1_180_x_kcns2_1_200,"",af3_iptm,0.720,0.680,0.830,2026-06-12
01_mapk14_x_tab1,"",af3_iptm,0.720,0.490,0.750,2026-06-12
binder454_musk_x_musk_ig1_24_128,"",af3_iptm,0.720,0.790,0.760,2026-07-25
a_x_b_203e3961,"",af3_iptm,0.720,0.870,0.760,2026-07-30
24_mapk1_x_pea15,"",af3_iptm,0.720,0.860,0.800,2026-06-12
pfn2_x_smn1_d05bd6d9,"",af3_iptm,0.720,0.500,0.880,2026-06-27
mtor_1382_1982_x_mtor_2181_2484,"",af3_iptm,0.720,0.740,0.780,2026-07-15
