source,smiles,qed,sma_score
genmol:fasudil_small,COc1ccc2c(c1)sc1cc(N=[N+]=[N-])ccc12,0.361,2.4791678666522947e-09
genmol:fasudil_small,COc1ccc2c(c1)sc1cc(C(O)=NCN=O)ccc12,0.448,2.4791678666522947e-09
genmol:fasudil_small,COc1ccc2c(c1)sc1cc([N+](=O)[O-])ccc12,0.517,2.4791678666522947e-09
genmol:fasudil_small,COc1ccc2c(c1)sc1cc(S(C)(=O)=O)ccc12,0.726,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1[CH+]N,0.739,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1ON,0.732,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1C=O,0.696,2.4791678666522947e-09
genmol:fasudil_med,COc1ccc2c(c1)sc1cc([N+](=O)C(=O)[O-])ccc12,0.68,2.4791678666522947e-09
genmol:limki3_small,COc1cc(-c2ncc3[nH]cnc3n2)ccc1O,0.715,2.4791678666522947e-09
genmol:limki3_small,COc1cc(-c2ncc3c(Cl)cccc3n2)ccc1O,0.781,2.4791678666522947e-09
genmol:limki3_small,COc1cc(-c2ncc3occc3c(=N)n2)ccc1O,0.743,2.4791678666522947e-09
genmol:limki3_small,COc1cc(-c2ncc3cccc-3c(O)n2)ccc1O,0.747,2.4791678666522947e-09
genmol:fasudil_med,COc1ccc2c(c1)sc1cc([N+](=O)N=C(O)NSC)ccc12,0.243,2.4791678666522947e-09
genmol:fasudil_med,COc1ccc2c(c1)sc1cc(C(O)=NC(C)CCN)ccc12,0.547,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1[N+](=O)[O-],0.569,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1,0.687,2.4791678666522947e-09
genmol:ripasudil_small,CC([N-])=Nc1ccccc1S(=O)(=O)N(C)C,0.596,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1CN=O,0.727,2.4791678666522947e-09
genmol:ripasudil_small,CSc1ccccc1S(=O)(=O)N(C)C,0.742,2.4791678666522947e-09
genmol:ripasudil_small,CCc1ccccc1S(=O)(=O)N(C)C,0.763,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1CC[O],0.769,2.4791678666522947e-09
genmol:ripasudil_small,[C-]Sc1ccccc1S(=O)(=O)N(C)C,0.582,2.4791678666522947e-09
genmol:ripasudil_med,CCCCCNCc1ccccc1S(=O)(=O)N(C)C,0.745,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1N,0.708,2.4791678666522947e-09
genmol:bms5_right_small,CC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.591,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1-c1ccccc1,0.851,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1C(=O)NCCO,0.767,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1NCCO,0.783,2.4791678666522947e-09
genmol:ripasudil_xl,COC(=O)CNc1ccccc1S(=O)(=O)N(C)C,0.791,2.4791678666522947e-09
genmol:ripasudil_xl,COc1cc(C#N)ccc1CN(C)c1ccccc1S(=O)(=O)N(C)C,0.792,2.4791678666522947e-09
genmol:ripasudil_xl,CCCc1csc(-c2ccccc2S(=O)(=O)N(C)C)c1C(=O)ON,0.792,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1CNCC1CCN1,0.793,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1CC(N)=O,0.804,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1C(=O)NCc1ccccc1N,0.81,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1N1CCOCC1,0.814,2.4791678666522947e-09
genmol:ripasudil_xl,CN1CCN(c2ccccc2S(=O)(=O)N(C)C)CC1,0.818,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1COc1ccccc1,0.85,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1-c1ccc(N2CCCCC2)cc1,0.851,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1Nc1ccc(N)nc1,0.894,2.4791678666522947e-09
genmol:ripa_lhop,COC(=O)Cc1ccccc1S(=O)(=O)N(C)C,0.743,2.4791678666522947e-09
genmol:ripa_lhop,CC(C)c1ccccc1S(=O)(=O)N(C)C,0.792,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1NC(=O)c1cc(-c2cccs2)no1,0.738,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1Oc1ccc(Cl)cc1,0.869,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1NC(=O)c1ccc(C(=O)[O-])cc1,0.85,2.4791678666522947e-09
genmol:ripasudil_xl,CCCCC[NH2+]C1CN(C(=O)Nc2ccccc2S(=O)(=O)N(C)C)C1,0.668,2.4791678666522947e-09
genmol:fasudil_small,COc1ccc2c(c1)sc1cc(S(=O)(=O)O)ccc12,0.736,2.4791678666522947e-09
genmol:bms5_right_small,Nc1nc(NC(=O)c2ccc(F)cc2)cc([N+](=O)[O-])n1,0.644,2.4791678666522947e-09
genmol:bms5_right_small,CS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.812,2.4791678666522947e-09
genmol:bms5_right_small,COC(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.823,2.4791678666522947e-09
genmol:bms5_right_small,COCCc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.873,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1N=C(O)[C@H]1CCCN(c2ccccn2)CC1,0.613,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1NC(=O)CCc1nnc2ccccn12,0.707,2.4791678666522947e-09
genmol:ripasudil_xl,Cc1nc(-c2ccccc2S(=O)(=O)N(C)C)no1,0.837,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1[S-]C1CCN(c2ccccc2)CC1,0.752,2.4791678666522947e-09
genmol:ripasudil_xl,CCNC(=O)C(=O)Nc1ccccc1S(=O)(=O)N(C)C,0.766,2.4791678666522947e-09
genmol:ripasudil_xl,CCCOc1ccccc1S(=O)(=O)N(C)C,0.791,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1CN1CC[NH+](C)CC1,0.797,2.4791678666522947e-09
genmol:ripasudil_xl,CN(C)S(=O)(=O)c1ccccc1NC(N)=O,0.806,2.4791678666522947e-09
genmol:ripasudil_xl,CCCCc1ccc(Nc2ccccc2S(=O)(=O)N(C)C)cc1,0.833,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1NC(F)(F)F,0.851,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1-c1ccccc1F,0.866,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1OCCC=O,0.561,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1N1CCNC1=O,0.867,2.4791678666522947e-09
genmol:fasudil_large,COc1ccc2c(c1)sc1cc(Br)ccc12,0.624,2.4791678666522947e-09
genmol:fasudil_large,COc1ccc2c(c1)sc1cc(N)ccc12,0.646,2.4791678666522947e-09
genmol:fasudil_large,COc1ccc2c(c1)sc1cc(O)c(-n3ncc4cc(N)ccc43)cc12,0.447,2.4791678666522947e-09
genmol:fasudil_large,COc1ccc2c(c1)sc1cc(Cl)ccc12,0.606,2.4791678666522947e-09
genmol:fasudil_large,COc1ccc2c(c1)sc1cc(F)ccc12,0.611,2.4791678666522947e-09
genmol:ripasudil_med,Cc1ccccc1S(=O)(=O)N(C)C,0.718,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1S,0.756,2.4791678666522947e-09
genmol:ripasudil_med,CCCSc1ccccc1S(=O)(=O)N(C)C,0.762,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1NC=O,0.763,2.4791678666522947e-09
genmol:ripasudil_med,CCCCNc1ccccc1S(=O)(=O)N(C)C,0.793,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1Cc1ccccc1,0.86,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1Sc1cccnc1,0.869,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1-n1cc(CO)cn1,0.891,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1NC1CCCCC1,0.923,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1Nc1ccccn1,0.929,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1-c1ccccc1Br,0.859,2.4791678666522947e-09
genmol:ripa_lhop,CCCNc1ccccc1S(=O)(=O)N(C)C,0.856,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1N1CCNC1,0.844,2.4791678666522947e-09
genmol:ripa_lhop,CCOc1ccccc1S(=O)(=O)N(C)C,0.782,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1-c1ccccc1Cl,0.871,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1CC(C)(C)N,0.881,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1C(=O)[O-],0.685,2.4791678666522947e-09
genmol:ripa_lhop,CNCCNc1ccccc1S(=O)(=O)N(C)C,0.731,2.4791678666522947e-09
genmol:ripa_lhop,CCCCCCNc1ccccc1S(=O)(=O)N(C)C,0.747,2.4791678666522947e-09
genmol:ripa_lhop,COCCNc1ccccc1S(=O)(=O)N(C)C,0.773,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1N1CC=NCC1,0.815,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1OC(F)(F)F,0.841,2.4791678666522947e-09
genmol:ripa_lhop,CCNc1ccccc1S(=O)(=O)N(C)C,0.846,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1C(=O)C(=O)O,0.614,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1C(F)F,0.802,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1C(F)(F)F,0.808,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1OC(F)F,0.815,2.4791678666522947e-09
genmol:ripa_lhop,CN(C)S(=O)(=O)c1ccccc1N1CCCCC1,0.841,2.4791678666522947e-09
genmol:bms5_rhop,N=C(O)N=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.423,2.4791678666522947e-09
