uniprot	cos_SMN1_P14639	cos_SMN2_Q16637	cos_ROCK2_O75116	cos_TP53_P04637	cos_PERP_P60468	sig_down	sig_up	signature_score	gene	ensembl	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	is_anchor
P24468	0.45376024	0.42457324	0.42468542	0.72108674	0.6235868	0.4816514	0.72108674	0.6013691	NR2F2	ENSG00000185551	7.2	8.3	31.0	41.9	Nuclear receptor subfamily 2 group F member 2	Disease related genes, Human disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	False
Q9H3P7	0.45306885	0.6107512	0.45696807	0.66758645	0.6194825	0.5350677	0.66758645	0.60132706	ACBD3	ENSG00000182827	10.8	15.8	20.2	20.1	Acyl-CoA binding domain containing 3	Plasma proteins, Predicted intracellular proteins, Transporters	False
Q14118	0.57592756	0.45291954	0.37051988	0.6746863	0.71239793	0.5279412	0.6746863	0.60131377	DAG1	ENSG00000173402	12.2	27.4	88.1	67.6	Dystroglycan 1	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	False
P82650	0.56309426	0.43942064	0.3680377	0.7004942	0.6377225	0.50206876	0.7004942	0.6012815	MRPS22	ENSG00000175110	21.2	24.0	73.2	57.1	Mitochondrial ribosomal protein S22	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Ribosomal proteins	False
Q8WUI4	0.3586034	0.5483736	0.31398064	0.7234551	0.68870604	0.4774159	0.7234551	0.6004355	HDAC7	ENSG00000061273	6.3	9.7	15.0	27.7	Histone deacetylase 7	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	False
O94966	0.39426047	0.51825637	0.33644935	0.70761335	0.72248036	0.49286163	0.70761335	0.6002375	USP19	ENSG00000172046	8.1	12.7	62.0	21.7	Ubiquitin specific peptidase 19	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False
Q86VK4	0.37880722	0.577132	0.36614966	0.7002064	0.67824703	0.500084	0.7002064	0.6001452	ZNF410	ENSG00000119725	17.7	16.4	19.9	19.9	Zinc finger protein 410	Plasma proteins, Predicted intracellular proteins, Transcription factors	False
P04040	0.5948222	0.40025938	0.391519	0.67487013	0.71369445	0.52507377	0.67487013	0.59997195	CAT	ENSG00000121691	34.3	25.9	99.0	54.4	Catalase	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	False
P0C7U3	0.45155558	0.44458836	0.3832296	0.68883705	0.7634951	0.51071715	0.68883705	0.5997771	ZDHHC11B	ENSG00000206077	12.6	16.5	3.4	14.2	Zinc finger DHHC-type containing 11B	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	False
O60307	0.35168126	0.51083773	0.44443053	0.6937474	0.713001	0.50498766	0.6937474	0.5993675	MAST3	ENSG00000099308	10.8	44.9	3.1	2.4	Microtubule associated serine/threonine kinase 3	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	False
P30414	0.41951984	0.58761036	0.4018854	0.6635498	0.731414	0.5351074	0.6635498	0.5993286	NKTR	ENSG00000114857	22.3	17.1	18.3	26.1	Natural killer cell triggering receptor	Enzymes, Metabolic proteins, Predicted intracellular proteins	False
Q9UIF9	0.39469633	0.6796073	0.36969614	0.67622566	0.64494145	0.5222353	0.67622566	0.59923047	BAZ2A	ENSG00000076108	10.5	13.9	26.0	19.8	Bromodomain adjacent to zinc finger domain 2A	Plasma proteins, Predicted intracellular proteins	False
Q8N5J2	0.3936686	0.45413518	0.34247187	0.7380659	0.650771	0.46026167	0.7380659	0.5991638	MINDY1	ENSG00000143409	42.3	15.7	14.8	29.3	MINDY lysine 48 deubiquitinase 1	Enzymes, Predicted intracellular proteins	False
Q12852	0.33775705	0.53464925	0.37895513	0.71433604	0.6845665	0.48398197	0.71433604	0.599159	MAP3K12	ENSG00000139625	8.3	23.5	2.3	7.4	Mitogen-activated protein kinase kinase kinase 12	Enzymes, Predicted intracellular proteins, Transporters	False
O60504	0.35206246	0.58488625	0.37966776	0.68333673	0.73865044	0.5138167	0.68333673	0.5985767	SORBS3	ENSG00000120896	53.9	51.1	62.0	102.8	Sorbin and SH3 domain containing 3	Plasma proteins, Predicted intracellular proteins	False
P63313	0.470252	0.52917457	0.40915865	0.647257	0.7903954	0.5497452	0.647257	0.5985011	TMSB10	ENSG00000034510	1130.5	2626.4	469.0	1700.5	Thymosin beta 10	Essential proteins, Plasma proteins, Predicted intracellular proteins	False
O75385	0.3454627	0.5898344	0.3570884	0.70269954	0.6838095	0.49404877	0.70269954	0.5983741	ULK1	ENSG00000177169	7.3	34.9	77.0	32.9	Unc-51 like autophagy activating kinase 1	Enzymes, Plasma proteins, Predicted intracellular proteins	False
O15371	0.49434823	0.4089095	0.41753045	0.69337237	0.69257045	0.50333965	0.69337237	0.598356	EIF3D	ENSG00000100353	57.2	42.0	153.4	89.0	Eukaryotic translation initiation factor 3 subunit D	Disease related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins	False
Q9BQ49	0.4634522	0.43969065	0.38491186	0.6712904	0.8116604	0.5249288	0.6712904	0.5981096	SMIM7	ENSG00000214046	54.6	34.2	22.8	33.5	Small integral membrane protein 7	Predicted intracellular proteins, Predicted membrane proteins	False
P26373	0.45136356	0.5136086	0.3625143	0.65985465	0.81545275	0.5357348	0.65985465	0.5977947	RPL13	ENSG00000167526	1417.2	1006.6	2324.5	1598.5	Ribosomal protein L13	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	False
P15260	0.49234414	0.5500129	0.4149566	0.6733719	0.63138413	0.5221744	0.6733719	0.5977732	IFNGR1	ENSG00000027697	113.8	33.5	59.4	99.7	Interferon gamma receptor 1	CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins	False
Q96PV6	0.35226777	0.5658721	0.34353402	0.7103762	0.67857414	0.485062	0.7103762	0.5977191	LENG8	ENSG00000167615	171.7	183.3	124.7	225.6	Leukocyte receptor cluster member 8	Essential proteins, Predicted intracellular proteins, Predicted membrane proteins	False
Q9BV73	0.52392125	0.42224705	0.7068118	0.62579286	0.6251689	0.5695373	0.62579286	0.5976651	CEP250	ENSG00000126001	9.3	10.9	8.4	6.3	Centrosomal protein 250	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q13574	0.4488312	0.3550157	0.4061665	0.7136619	0.7108684	0.48022044	0.7136619	0.5969412	DGKZ	ENSG00000149091	22.7	206.2	90.6	44.1	Diacylglycerol kinase zeta	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	False
P67936	0.59119606	0.38930774	0.7856959	0.58928674	0.6518229	0.60450566	0.58928674	0.5968962	TPM4	ENSG00000167460	81.0	57.6	42.9	148.6	Tropomyosin 4	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	False
Q96EB6	0.39280382	0.5384152	0.3357944	0.7033534	0.6946368	0.49041253	0.7033534	0.59688294	SIRT1	ENSG00000096717	8.8	8.1	13.8	9.9	Sirtuin 1	Enzymes, Metabolic proteins, Predicted intracellular proteins	False
Q5TCS8	0.5666394	0.50087166	0.5668602	0.6273564	0.6310296	0.5663502	0.6273564	0.5968533	AK9	ENSG00000155085	7.1	4.7	4.5	4.6	Adenylate kinase 9	Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins	False
Q6GYQ0	0.4278846	0.6197368	0.4426816	0.6577475	0.6533928	0.53592396	0.6577475	0.59683573	RALGAPA1	ENSG00000174373	23.7	20.2	15.8	11.6	Ral GTPase activating protein catalytic subunit alpha 1	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins	False
Q9ULK5	0.52390975	0.4813633	0.3753493	0.6723553	0.7045851	0.52130187	0.6723553	0.5968286	VANGL2	ENSG00000162738	5.8	9.7	1.7	4.6	VANGL planar cell polarity protein 2	Disease related genes, Human disease related genes, Predicted membrane proteins	False
Q16363	0.620813	0.35329098	0.5251845	0.64299124	0.70261616	0.5504762	0.64299124	0.5967337	LAMA4	ENSG00000112769	7.6	7.4	10.0	50.1	Laminin subunit alpha 4	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	False
Q14764	0.5379787	0.33699638	0.47470218	0.67609525	0.7178095	0.5168717	0.67609525	0.59648347	MVP	ENSG00000013364	35.2	19.0	49.0	63.5	Major vault protein	Cancer-related genes, Predicted intracellular proteins, Transporters	False
Q99946	0.3531075	0.47639656	0.27290022	0.7408189	0.70302004	0.4513561	0.7408189	0.5960875	PRRT1	ENSG00000204314	5.8	51.2	0.4	1.5	Proline rich transmembrane protein 1	Predicted intracellular proteins, Predicted membrane proteins	False
O14920	0.4526399	0.3639094	0.58280766	0.6860163	0.62339354	0.5056876	0.6860163	0.59585196	IKBKB	ENSG00000104365	5.7	4.8	15.2	8.2	Inhibitor of nuclear factor kappa B kinase subunit beta	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	False
Q6IPR3	0.5090364	0.3857311	0.45626146	0.68313986	0.67982745	0.5077141	0.68313986	0.595427	TYW3	ENSG00000162623	9.5	8.4	9.9	19.0	TRNA-yW synthesizing protein 3 homolog	Enzymes, Predicted intracellular proteins	False
Q15049	0.4687753	0.4164485	0.3626784	0.68800616	0.7631176	0.5027549	0.68800616	0.59538054	MLC1	ENSG00000100427	52.2	193.4	0.1	0.6	Modulator of VRAC current 1	Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	False
O75112	0.39054465	0.51512384	0.37488937	0.69102037	0.71385854	0.49860412	0.69102037	0.5948123	LDB3	ENSG00000122367	59.6	7.4	2717.5	1170.6	LIM domain binding 3	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q9P0N8	0.46766365	0.43906024	0.34027156	0.7060667	0.6865063	0.48337543	0.7060667	0.5947211	MARCHF2	ENSG00000099785	93.3	92.7	85.9	97.2	Membrane associated ring-CH-type finger 2	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	False
Q4G0I0	0.46378806	0.46832174	0.2906827	0.69330096	0.7592648	0.49551433	0.69330096	0.5944077	C16orf91	ENSG00000174109	6.9	13.0	15.8	13.9	Chromosome 16 open reading frame 91	Predicted membrane proteins	False
P25490	0.43069023	0.51630485	0.4240371	0.6766442	0.67647624	0.5118771	0.6766442	0.5942607	YY1	ENSG00000100811	21.2	21.6	33.7	26.9	YY1 transcription factor	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	False
O00124	0.47379428	0.5569394	0.46586156	0.64734924	0.66760504	0.5410501	0.64734924	0.59419966	UBXN8	ENSG00000104691	6.6	11.6	3.7	5.5	UBX domain protein 8	Predicted intracellular proteins, Predicted membrane proteins	False
Q15751	0.4405387	0.5150964	0.49332082	0.6553752	0.6828514	0.53295183	0.6553752	0.59416354	HERC1	ENSG00000103657	6.3	12.8	28.5	14.3	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	False
Q8NBF6	0.4938302	0.4458998	0.38937992	0.69312894	0.64766324	0.4941933	0.69312894	0.5936611	AVL9	ENSG00000105778	5.9	14.3	7.4	4.9	AVL9 cell migration associated	Predicted intracellular proteins, Predicted membrane proteins	False
P53804	0.49792612	0.59139156	0.5058609	0.623121	0.6604558	0.5639086	0.623121	0.5935148	TTC3	ENSG00000182670	12.3	70.0	32.7	26.9	Tetratricopeptide repeat domain 3	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False
O75840	0.39426604	0.57440275	0.4179986	0.67055297	0.67789876	0.51614153	0.67055297	0.59334725	KLF7	ENSG00000118263	11.6	8.2	4.4	9.4	KLF transcription factor 7	Plasma proteins, Predicted intracellular proteins, Transcription factors	False
Q02086	0.37200397	0.58780855	0.407054	0.673445	0.6854027	0.5130673	0.673445	0.5932561	SP2	ENSG00000167182	12.6	11.6	28.6	16.5	Sp2 transcription factor	Plasma proteins, Predicted intracellular proteins, Transcription factors	False
Q09472	0.3553571	0.6262473	0.41478002	0.6750748	0.64885896	0.5113109	0.6750748	0.5931928	EP300	ENSG00000100393	8.3	10.9	21.6	12.2	E1A binding protein p300	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	False
P08670	0.5554279	0.36396986	0.6289644	0.6330013	0.66220677	0.5526422	0.6330013	0.5928218	VIM	ENSG00000026025	358.5	308.0	350.9	1321.0	Vimentin	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
P07197	0.55704	0.50473666	0.51072514	0.6140214	0.7125436	0.57126135	0.6140214	0.59264135	NEFM	ENSG00000104722	95.7	308.0	1.5	0.2	Neurofilament medium chain	Plasma proteins, Predicted intracellular proteins	False
Q6E0U4	0.5082703	0.5850947	0.34240824	0.6412391	0.73932946	0.5437757	0.6412391	0.59250736	DMKN	ENSG00000161249	5.0	7.3	18.8	11.3	Dermokine	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	False
Q99996	0.52609277	0.5522431	0.75074184	0.5796731	0.58800966	0.6042718	0.5796731	0.5919725	AKAP9	ENSG00000127914	7.8	9.0	14.8	12.3	A-kinase anchoring protein 9	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q9BWJ5	0.43607765	0.5015309	0.3765167	0.66581327	0.7582837	0.5181022	0.66581327	0.59195775	SF3B5	ENSG00000169976	95.9	90.0	153.7	143.2	Splicing factor 3b subunit 5	Essential proteins, Plasma proteins, Predicted intracellular proteins	False
P40818	0.44401205	0.55304164	0.57944846	0.6254302	0.6564851	0.5582468	0.6254302	0.5918385	USP8	ENSG00000138592	11.2	18.3	17.0	14.1	Ubiquitin specific peptidase 8	Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	False
Q8NF91	0.6137514	0.39298683	0.6556951	0.6078485	0.6399041	0.57558435	0.6078485	0.5917164	SYNE1	ENSG00000131018	35.0	76.4	35.9	57.8	Spectrin repeat containing nuclear envelope protein 1	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False
O15342	0.4866602	0.42093366	0.39058465	0.6609198	0.79115176	0.52233255	0.6609198	0.59162617	ATP6V0E1	ENSG00000113732	160.1	88.0	214.0	248.3	ATPase H+ transporting V0 subunit e1	Metabolic proteins, Predicted membrane proteins	False
Q9UKA4	0.43807936	0.6764933	0.41104734	0.63076246	0.68222094	0.55196023	0.63076246	0.59136134	AKAP11	ENSG00000023516	18.9	29.2	5.2	10.8	A-kinase anchoring protein 11	Plasma proteins, Predicted intracellular proteins	False
Q9BYN0	0.40603763	0.39633167	0.32230544	0.70540345	0.7833975	0.47701806	0.70540345	0.5912107	SRXN1	ENSG00000271303	10.6	29.0	46.1	37.0	Sulfiredoxin 1	Enzymes, Predicted intracellular proteins	False
P12270	0.6040311	0.41116846	0.8174455	0.57619005	0.5896011	0.60556155	0.57619005	0.5908758	TPR	ENSG00000047410	9.2	13.4	19.4	16.0	Translocated promoter region, nuclear basket protein	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	False
Q9UNH7	0.6278881	0.2912964	0.6130357	0.632003	0.66396534	0.5490464	0.632003	0.5905247	SNX6	ENSG00000129515	65.0	21.5	24.4	31.6	Sorting nexin 6	Plasma proteins, Predicted intracellular proteins	False
Q96E52	0.5826072	0.3716735	0.4590748	0.6539458	0.694144	0.5268749	0.6539458	0.59041035	OMA1	ENSG00000162600	10.1	5.6	26.5	18.5	OMA1 zinc metallopeptidase	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	False
P57054	0.5519965	0.3457801	0.3750838	0.6696064	0.7715645	0.51110625	0.6696064	0.59035635	PIGP	ENSG00000185808	35.6	14.4	41.3	37.5	Phosphatidylinositol glycan anchor biosynthesis class P	Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	False
Q9UIJ5	0.44033355	0.4328906	0.35211748	0.69761276	0.70652705	0.48296714	0.69761276	0.59028995	ZDHHC2	ENSG00000104219	15.7	11.7	16.8	9.0	Zinc finger DHHC-type palmitoyltransferase 2	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	False
O75324	0.47499353	0.54993856	0.38844454	0.643265	0.73566633	0.5372608	0.643265	0.5902629	SNN	ENSG00000184602	53.5	135.1	111.2	27.6	Stannin	Predicted membrane proteins	False
Q96HC4	0.41854292	0.5271313	0.4438015	0.65437067	0.71449745	0.5259933	0.65437067	0.59018195	PDLIM5	ENSG00000163110	13.0	28.3	1089.9	589.2	PDZ and LIM domain 5	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False
O14617	0.5814188	0.33577225	0.56302536	0.64480066	0.6614628	0.5354198	0.64480066	0.59011024	AP3D1	ENSG00000065000	20.9	38.9	47.9	43.3	Adaptor related protein complex 3 subunit delta 1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q8IUX1	0.560275	0.39544553	0.40525806	0.65926135	0.7210825	0.52051526	0.65926135	0.58988833	TMEM126B	ENSG00000171204	21.8	27.4	15.2	23.1	Transmembrane protein 126B	Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	False
Q9UKV3	0.3668623	0.633148	0.3609839	0.6650746	0.6968212	0.5144538	0.6650746	0.58976424	ACIN1	ENSG00000100813	31.2	32.7	50.8	42.2	Apoptotic chromatin condensation inducer 1	Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters	False
O15488	0.47421092	0.4489203	0.35559404	0.6791701	0.72253346	0.5003147	0.6791701	0.5897424	GYG2	ENSG00000056998	26.2	4.9	0.3	1.3	Glycogenin 2	Enzymes, Metabolic proteins, Predicted intracellular proteins	False
P07814	0.5998328	0.32141137	0.5052469	0.65499425	0.6648692	0.52284	0.65499425	0.58891714	EPRS1	ENSG00000136628	21.2	30.3	51.1	29.8	Glutamyl-prolyl-tRNA synthetase 1	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False
P61960	0.52957726	0.327025	0.4288889	0.6706809	0.740865	0.50658906	0.6706809	0.58863497	UFM1	ENSG00000120686	50.0	35.8	23.2	33.6	Ubiquitin fold modifier 1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q99755	0.42979968	0.38156578	0.37025195	0.6939747	0.7500535	0.48291776	0.6939747	0.5884462	PIP5K1A	ENSG00000143398	9.6	13.5	27.3	18.6	Phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	Cancer-related genes, Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins	False
O75509	0.47599578	0.5073345	0.3716981	0.6655172	0.68994224	0.5112426	0.6655172	0.5883799	TNFRSF21	ENSG00000146072	108.8	29.8	5.6	9.6	TNF receptor superfamily member 21	CD markers, Plasma proteins, Predicted membrane proteins	False
Q9H0K1	0.31972125	0.5516218	0.40723634	0.6941136	0.65090936	0.48237216	0.6941136	0.5882429	SIK2	ENSG00000170145	7.4	12.4	31.4	11.7	Salt inducible kinase 2	Enzymes, Predicted membrane proteins	False
Q9NTJ5	0.555073	0.25472063	0.42436332	0.68598366	0.7248611	0.4897545	0.68598366	0.58786905	SACM1L	ENSG00000211456	13.0	18.4	8.8	13.7	SAC1 like phosphatidylinositide phosphatase	Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	False
Q99590	0.40848732	0.65403754	0.40008453	0.64357734	0.6655694	0.53204465	0.64357734	0.587811	SCAF11	ENSG00000139218	17.5	18.2	33.4	27.9	SR-related CTD associated factor 11	Predicted intracellular proteins, Predicted membrane proteins	False
Q96AQ2	0.42327052	0.39995688	0.3126951	0.69513464	0.7850984	0.4802552	0.69513464	0.5876949	TMEM125	ENSG00000179178	64.4	10.6	0.0	0.8	Transmembrane protein 125	Predicted intracellular proteins, Predicted membrane proteins	False
O95613	0.48413825	0.48764062	0.5699306	0.63681173	0.6107794	0.5381222	0.63681173	0.58746696	PCNT	ENSG00000160299	6.2	16.5	234.7	26.9	Pericentrin	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
P10606	0.5561891	0.3278082	0.3282557	0.6904136	0.7255334	0.48444664	0.6904136	0.5874301	COX5B	ENSG00000135940	351.2	477.3	1249.4	1143.7	Cytochrome c oxidase subunit 5B	Metabolic proteins, Predicted intracellular proteins, Transporters	False
P46939	0.6155155	0.34927484	0.65664387	0.6098468	0.6361534	0.5643969	0.6098468	0.58712184	UTRN	ENSG00000152818	7.2	12.1	15.9	16.4	Utrophin	Plasma proteins, Predicted intracellular proteins	False
Q7Z3T8	0.4157464	0.632299	0.42239416	0.6376407	0.674495	0.53623366	0.6376407	0.5869372	ZFYVE16	ENSG00000039319	8.1	9.4	5.6	13.1	Zinc finger FYVE-type containing 16	Predicted intracellular proteins, Transporters	False
Q9NRD5	0.5508247	0.38869405	0.5706912	0.62347305	0.69064736	0.55021435	0.62347305	0.5868437	PICK1	ENSG00000100151	20.6	23.5	25.3	17.3	Protein interacting with PRKCA 1	Predicted intracellular proteins, Transporters	False
P49765	0.46145475	0.4461491	0.23861052	0.7110777	0.7032956	0.4623775	0.7110777	0.5867276	VEGFB	ENSG00000173511	36.3	59.8	69.5	114.5	Vascular endothelial growth factor B	Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins	False
P58511	0.5701994	0.36057216	0.47798973	0.63400275	0.74823123	0.5392481	0.63400275	0.58662546	SMIM11	ENSG00000205670	26.0	23.7	41.5	32.3	Small integral membrane protein 11	Predicted intracellular proteins, Predicted membrane proteins	False
Q96E16	0.45749784	0.50206983	0.40599197	0.64388204	0.749797	0.5288391	0.64388204	0.5863606	SMIM19	ENSG00000176209	38.7	42.0	114.2	56.7	Small integral membrane protein 19	Predicted intracellular proteins, Predicted membrane proteins	False
Q8NFA0	0.50152683	0.42710945	0.5774502	0.63135207	0.65932655	0.5413533	0.63135207	0.5863527	USP32	ENSG00000170832	19.8	22.5	32.5	12.7	Ubiquitin specific peptidase 32	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	False
P09543	0.61295724	0.296754	0.4040508	0.67072684	0.6939037	0.5019164	0.67072684	0.5863216	CNP	ENSG00000173786	1112.6	344.3	24.6	24.2	2',3'-cyclic nucleotide 3' phosphodiesterase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False
P10911	0.5299294	0.4228655	0.6096177	0.6258371	0.6217103	0.54603076	0.6258371	0.5859339	MCF2	ENSG00000101977	7.0	8.6	0.1	0.9	MCF.2 cell line derived transforming sequence	Disease related genes, Plasma proteins, Predicted intracellular proteins	False
P98082	0.3589189	0.63729763	0.41472787	0.6476595	0.6853081	0.5240631	0.6476595	0.5858613	DAB2	ENSG00000153071	7.6	7.1	11.2	19.3	DAB adaptor protein 2	Plasma proteins, Predicted intracellular proteins	False
O60502	0.53946626	0.49598643	0.43219566	0.6502543	0.6173844	0.5212582	0.6502543	0.58575624	OGA	ENSG00000198408	49.6	67.8	53.6	57.7	O-GlcNAcase	Enzymes, Metabolic proteins, Predicted intracellular proteins	False
Q9NVE5	0.48128757	0.44951507	0.51290023	0.6539972	0.62573695	0.51736	0.6539972	0.5856786	USP40	ENSG00000085982	6.0	5.8	8.6	7.6	Ubiquitin specific peptidase 40	Enzymes, Metabolic proteins, Predicted intracellular proteins	False
Q8NBJ4	0.5074029	0.5507529	0.48906398	0.616076	0.6724907	0.5549276	0.616076	0.5855018	GOLM1	ENSG00000135052	64.3	87.2	8.8	12.2	Golgi membrane protein 1	Plasma proteins, Predicted intracellular proteins	False
P57086	0.40331256	0.47896868	0.28388134	0.6946758	0.7384467	0.47615233	0.6946758	0.58541405	SCAND1	ENSG00000171222	76.0	94.4	100.2	84.7	SCAN domain containing 1	Plasma proteins, Predicted intracellular proteins	False
P36551	0.41929507	0.49897444	0.3069521	0.6765716	0.75126636	0.494122	0.6765716	0.5853468	CPOX	ENSG00000080819	35.0	12.2	10.5	8.2	Coproporphyrinogen oxidase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins	False
Q16799	0.40904802	0.58436453	0.34386796	0.6614956	0.6987206	0.5090003	0.6614956	0.585248	RTN1	ENSG00000139970	53.9	417.8	0.7	0.8	Reticulon 1	Plasma proteins, Predicted membrane proteins, Transporters	False
O94979	0.53746283	0.40404207	0.46684396	0.65208346	0.66483074	0.5182949	0.65208346	0.58518916	SEC31A	ENSG00000138674	43.8	53.1	91.9	103.6	SEC31 homolog A, COPII coat complex component	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	False
A4D0T7	0.5216052	0.3207828	0.40201876	0.6721165	0.7469487	0.49783888	0.6721165	0.5849777	SMIM30	ENSG00000214194	46.8	37.4	133.4	192.2	Small integral membrane protein 30	Predicted membrane proteins	False
Q99708	0.3781138	0.67849123	0.40632206	0.64737093	0.6274013	0.5225821	0.64737093	0.58497655	RBBP8	ENSG00000101773	5.4	5.6	2.3	6.8	RB binding protein 8, endonuclease	Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q9P275	0.33912265	0.5779965	0.3410028	0.68640196	0.6742196	0.4830854	0.68640196	0.5847437	USP36	ENSG00000055483	8.9	9.9	20.5	14.2	Ubiquitin specific peptidase 36	Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	False
Q92793	0.35447517	0.6291462	0.39378148	0.66431975	0.6432491	0.50516295	0.66431975	0.58474135	CREBBP	ENSG00000005339	6.2	12.1	28.0	13.5	CREB binding protein	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False
O43583	0.51160324	0.44795635	0.47275597	0.6402879	0.6835217	0.52895933	0.6402879	0.5846236	DENR	ENSG00000139726	11.0	24.2	56.4	22.9	Density regulated re-initiation and release factor	Essential proteins, Plasma proteins, Predicted intracellular proteins	False
Q70EL1	0.35507056	0.6590991	0.36884224	0.65984535	0.6534821	0.5091235	0.65984535	0.58448446	USP54	ENSG00000166348	67.5	24.1	122.6	18.2	Ubiquitin specific peptidase 54	Enzymes, Predicted intracellular proteins	False
Q13017	0.6006158	0.2990622	0.5595551	0.6515195	0.6102058	0.51735973	0.6515195	0.58443964	ARHGAP5	ENSG00000100852	21.0	48.8	11.9	59.2	Rho GTPase activating protein 5	Plasma proteins, Predicted intracellular proteins	False
O94901	0.39893246	0.5458075	0.38438952	0.6627054	0.6945946	0.505931	0.6627054	0.5843182	SUN1	ENSG00000164828	24.4	34.9	111.9	72.5	Sad1 and UNC84 domain containing 1	Predicted intracellular proteins, Predicted membrane proteins, Transporters	False
